study	ABAT	ABCB1	ABCB4	ABCC1	ABCC4	ABCC5	ABCC8	ABCG2	ABL1	ABL2	ACADSB	ACE	ACO1	ACTR2	ADA	ADAMTS5	ADARB2	ADGRB1	ADH1C	ADM	ADORA1	ADORA2A	ADORA2B	ADORA3	ADRA1A	ADRA1B	ADRA1D	ADRB1	ADRB2	ADRM1	AFP	AGT	AGTR1	AKT1	AKT2	AKT3	ALAD	ALB	ALDH1A2	ALDH5A1	ALK	ALOX5	ALPL	AMH	ANXA1	ANXA5	AOC3	APC	APLN	APOA1	APOB	APOE	APP	APRT	AQP1	AR	ARAF	ARID1A	ASIC1	ATF2	ATIC	ATM	ATP1A1	ATRX	AURKB	AVPR1A	AVPR1B	AVPR2	BAP1	BAX	BCHE	BCL2	BCL2L11	BCL2L2	BCOR	BCR	BDKRB1	BDNF	BGLAP	BHLHE40	BIRC5	BLK	BLM	BRAF	BRCA1	BRCA2	BRD2	BRD3	BRD4	BRS3	BTF3P11	BTK	CA12	CA9	CACNA1D	CACNA1F	CACNA2D1	CACNG1	CALR	CALY	CAMK2B	CARD9	CAST	CBL	CBLB	CCL11	CCL25	CCNA2	CCND1	CCR1	CCR2	CCR3	CCR5	CCR9	CD2	CD28	CD40	CD40LG	CD44	CD5	CD55	CDH1	CDK19	CDK2	CDK4	CDK5	CDK8	CDKN1A	CDKN1B	CDKN1C	CDKN2A	CDKN2D	CDX2	CEACAM1	CEACAM5	CEL	CENPE	CFTR	CGA	CGB5	CHRM1	CHRM2	CHRM3	CHRM4	CHRM5	CHRNA4	CNGA1	CNGA3	CNTFR	COIL	COL18A1	COL1A2	CP	CPS1	CPT1B	CPT2	CRBN	CRHR1	CRHR2	CSF1	CSF1R	CSF2	CSF3R	CTGF	CTLA4	CTNNB1	CTSC	CTSG	CUL4A	CXCL2	CXCL8	CXCR2	CXCR3	CYP19A1	CYP1A1	CYP1A2	CYP27B1	CYP2C9	CYP2D6	CYP2E1	CYP3A4	DAPK1	DCK	DCN	DCT	DDB1	DDC	DDIT3	DDR1	DDR2	DHFR	DIABLO	DKK1	DLG4	DNMT3A	DNTT	DPP4	DPYD	DRD1	DRD2	DRD3	DRD4	DRD5	DSG1	DSP	DUSP6	E2F1	EDN1	EDNRB	EGFR	EGR2	EIF2B1	EIF2S1	EIF4E	EML4	EP300	EPHA2	ERBB2	ERBB4	ERCC6	ESR1	ESR2	ETV6	EZH2	EZR	F2R	F9	FAS	FBXW7	FCGR2B	FCGR3A	FCGR3B	FES	FFAR1	FFAR2	FFAR4	FGF2	FGF3	FGFR1	FGFR2	FGFR3	FGR	FHIT	FIP1L1	FKBP1A	FKBP4	FLCN	FLT1	FLT3	FLT4	FOLH1	FPR1	FPR2	FPR3	FRK	FST	FUS	FYN	G6PD	GAA	GABBR1	GABBR2	GADD45A	GALR1	GALR2	GATA1	GATA2	GCG	GCLM	GDF15	GFAP	GGPS1	GGT1	GHRL	GJA1	GLI1	GLS	GNA11	GNAQ	GNRH1	GNRHR	GNRHR2	GPD2	GPER1	GPR143	GPR17	GPR183	GRB2	GRM4	GRM6	GRM7	GRM8	GRPR	GSK3B	GSR	GSTM1	GSTP1	GUCA2A	H2AFX	HAS3	HCK	HDAC1	HDAC10	HDAC11	HDAC2	HDAC3	HDAC4	HDAC5	HDAC6	HDAC7	HDAC8	HDAC9	HES1	HGF	HIF1A	HIPK1	HIST3H2A	HIST4H4	HMGB1	HMGCR	HMOX1	HNF4A	HOXB1	HOXD1	HPGD	HPRT1	HRAS	HRH1	HSP90AA1	HSP90AA2P	HSP90AB1	HSPA4	HSPA8	HSPB2	HSPD1	HTR1A	HTR1B	HTR1D	HTR1E	HTR1F	HTR2A	HTR2B	HTR2C	HTR5A	HTR6	HTRA1	HTT	HUS1	IBSP	ICAM3	IDH1	IDH2	IFI27	IFNG	IGF1R	IGF2	IGFBP1	IKZF1	IL10	IL15	IL17A	IL17F	IL1B	IL1R1	IL1RN	IL2	IL2RA	IL31RA	IL7	ISG15	ITGA4	ITGAL	ITGB2	ITPR2	ITPR3	JAK2	KAT2B	KCNA1	KCNB1	KCNJ1	KCNJ10	KCNJ11	KCNN4	KDR	KIT	KLK3	KMT2A	KRAS	KRT19	LCK	LDLR	LEP	LIF	LIPA	LPL	LYN	MAOB	MAP2K1	MAP2K3	MAP2K4	MAP2K6	MAPK1	MAPK10	MAPK11	MAPK12	MAPK13	MAPK14	MAPK8	MAPK9	MARCKSL1	MBL2	MC2R	MCHR1	MCL1	MDK	MDM2	MET	MGA	MGAM	MGMT	MKI67	MKNK1	MMP1	MMP13	MMP15	MMP16	MMP2	MMP7	MMP8	MMP9	MPL	MPO	MSR1	MST1	MT-CO1	MT1E	MT1H	MTHFR	MTOR	MUC16	MUC2	MVK	MYC	MYCN	MYD88	MYO9B	MYOD1	NAGS	NAT1	NCF1	NEUROD1	NF1	NF2	NFE2L2	NFKB1	NGFR	NMBR	NOS1	NOS2	NOTCH1	NPM1	NPPC	NR1H2	NR1H3	NR2C1	NR2C2	NR3C1	NR4A1	NR5A1	NRAS	NRG1	NRIP1	NT5C2	NTF3	NTRK1	NTRK3	NUAK1	OCLN	OSM	P2RY1	P2RY11	P2RY12	P2RY13	P2RY14	P2RY2	P2RY4	P2RY6	PAEP	PAK2	PAPOLA	PARP1	PBRM1	PC	PCBD1	PCNA	PDE10A	PDE11A	PDE1A	PDE1B	PDE1C	PDE2A	PDE3A	PDE3B	PDE4A	PDE4B	PDE4C	PDE4D	PDE5A	PDE6A	PDE6B	PDE6C	PDE6D	PDE6G	PDE6H	PDE7A	PDE7B	PDE8A	PDE8B	PDE9A	PDGFA	PDGFB	PDGFC	PDGFD	PDGFRA	PDGFRB	PDPK1	PECAM1	PGD	PGP	PGR	PHKG2	PI4K2A	PI4K2B	PI4KA	PI4KB	PIK3C2A	PIK3C2B	PIK3C2G	PIK3C3	PIK3CA	PIK3CB	PIK3CD	PIK3CG	PIK3R1	PIK3R2	PIK3R3	PIK3R4	PIK3R5	PIK3R6	PIM1	PIPSL	PKD2L1	PKN1	PLA2G1B	PLAT	PLAU	PLD2	PLG	PLK1	PMAIP1	PML	POLA1	POLG	PPARD	PPARG	PPT1	PRDX1	PRKAA1	PRKAB1	PRKACB	PRKCH	PRKCI	PRKD1	PRKDC	PRL	PSMA1	PSMA2	PSMA3	PSMA4	PSMA5	PSMA6	PSMA7	PSMA8	PSMB1	PSMB10	PSMB11	PSMB2	PSMB3	PSMB4	PSMB5	PSMB6	PSMB7	PSMB8	PSMB9	PSMC1	PSMC1P1	PSMC2	PSMC3	PSMC3IP	PSMC4	PSMC5	PSMC6	PSMD1	PSMD10	PSMD10P1	PSMD10P2	PSMD10P3	PSMD11	PSMD12	PSMD13	PSMD14	PSMD2	PSMD3	PSMD4	PSMD4P1	PSMD5	PSMD6	PSMD7	PSMD8	PSMD9	PSME1	PSME2	PSME2P2	PSME3	PSME4	PSMF1	PTCH1	PTEN	PTGER1	PTGER4	PTGES	PTGS1	PTGS2	PTH	PTPN11	PTPRB	PTPRZ1	PXN	RAD50	RAF1	RARA	RARB	RARG	RARRES1	RB1	RBL2	RBP3	RBX1	RET	RIPK1	RLN2	ROCK1	ROCK2	RORB	ROS1	RPE65	RPS19	RPS6KA1	RPS6KB1	RPSA	RRM1	RRM2	RUNX3	RXRB	RXRG	S100A12	S100A8	S1PR1	S1PR3	SAA1	SCD	SCG5	SCN10A	SCN11A	SCN1A	SCN2A	SCN3A	SCN4A	SCN5A	SCN7A	SCN8A	SCN9A	SEM1	SERPINA3	SERPINE1	SFTPA1	SHH	SI	SIGMAR1	SIK1	SIK2	SIK3	SLAMF1	SLC17A9	SLC18A1	SLC18A2	SLC19A1	SLC1A1	SLC25A4	SLC25A5	SLC29A2	SLC2A1	SLC2A4	SLC52A2	SLC5A2	SLC5A8	SLC6A2	SLC6A3	SLC6A4	SLCO1B1	SLCO1B3	SLK	SLPI	SMAD2	SMAD4	SMARCA4	SMARCB1	SMN1	SPP1	SRC	SRMS	SST	SSTR2	STAG2	STAT5B	STK11	STK3	STS	SUCNR1	SULT2A1	SYK	TAC1	TACR2	TAT	TBP	TDO2	TERT	TFAP2A	TFPI	TG	TGFB1	TGFBR3	TGM2	TH	THBD	THBS1	THRA	THRB	TK2	TNF	TNFRSF10A	TNFRSF1B	TNFRSF8	TNFSF10	TNFSF11	TNFSF13B	TNIK	TOP1	TOP1MT	TOP2A	TOP2B	TP53	TP73	TPM3	TPMT	TPO	TRH	TRPA1	TRPM2	TRPM4	TRPM8	TRPV1	TSC1	TSC2	TSHB	TSPYL2	TYMS	UGT1A1	UGT1A10	UMOD	VCAM1	VDR	VEGFA	VEGFB	VEGFC	VHL	VIM	VWF	WRN	WT1	WWOX	XDH	XIAP	XRCC5	YES1	ZAP70
Aliper2016	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Barardo2017	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Calvert2016	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Donertas2018	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0
